MonthsToMat,ImpliedVol
1.00,0.11458
2.00,0.13166
3.00,0.13962
4.00,0.14807
5.00,0.15442
6.00,0.15603
7.00,0.15814
8.00,0.16238
9.00,0.16543
12.00,0.17272
15.00,0.17667
18.00,0.17846
19.00,0.17908
21.00,0.18143
30.00,0.18379
