Date,Open,High,Low,Close,Adj Close,Volume
2020-02-18,14.980000,15.490000,14.530000,14.830000,14.830000,0
2020-02-19,14.660000,14.740000,14.210000,14.380000,14.380000,0
2020-02-20,14.540000,17.209999,14.490000,15.560000,15.560000,0
2020-02-21,17.330000,18.209999,16.190001,17.080000,17.080000,0
2020-02-24,22.250000,26.350000,22.000000,25.030001,25.030001,0
2020-02-25,23.280001,30.250000,22.620001,27.850000,27.850000,0
2020-02-26,26.629999,29.570000,24.760000,27.559999,27.559999,0
2020-02-27,32.139999,39.310001,29.370001,39.160000,39.160000,0
2020-02-28,42.020000,49.480000,39.369999,40.110001,40.110001,0
2020-03-02,38.540001,40.410000,31.500000,33.419998,33.419998,0
2020-03-03,33.650002,41.060001,24.930000,36.820000,36.820000,0
2020-03-04,34.439999,35.580002,30.299999,31.990000,31.990000,0
2020-03-05,33.610001,42.840000,33.540001,39.619999,39.619999,0
2020-03-06,48.930000,54.389999,40.840000,41.939999,41.939999,0
2020-03-09,41.939999,62.119999,41.939999,54.459999,54.459999,0
2020-03-10,49.680000,55.660000,43.560001,47.299999,47.299999,0
2020-03-11,52.240002,55.820000,49.980000,53.900002,53.900002,0
2020-03-12,61.459999,76.830002,59.910000,75.470001,75.470001,0
2020-03-13,71.309998,77.570000,55.169998,57.830002,57.830002,0
2020-03-16,57.830002,83.559998,57.830002,82.690002,82.690002,0
2020-03-17,82.690002,84.830002,70.370003,75.910004,75.910004,0
2020-03-18,69.370003,85.470001,69.370003,76.449997,76.449997,0
2020-03-19,80.620003,84.260002,68.570000,72.000000,72.000000,0
2020-03-20,67.860001,69.510002,57.419998,66.040001,66.040001,0
2020-03-23,74.080002,76.739998,60.459999,61.590000,61.590000,0
2020-03-24,58.759998,61.880001,36.240002,61.669998,61.669998,0
2020-03-25,61.439999,68.860001,58.029999,63.950001,63.950001,0
2020-03-26,65.669998,67.059998,57.660000,61.000000,61.000000,0
2020-03-27,64.949997,69.099998,61.799999,65.540001,65.540001,0
2020-03-30,66.300003,67.690002,56.599998,57.080002,57.080002,0
2020-03-31,56.689999,58.750000,50.880001,53.540001,53.540001,0
2020-04-01,57.380001,60.590000,52.759998,57.060001,57.060001,0
2020-04-02,54.459999,57.240002,50.450001,50.910000,50.910000,0
2020-04-03,51.110001,52.290001,46.740002,46.799999,46.799999,0
2020-04-06,44.169998,45.730000,43.450001,45.240002,45.240002,0
2020-04-07,44.830002,47.509998,43.509998,46.700001,46.700001,0
2020-04-08,45.900002,47.279999,42.529999,43.349998,43.349998,0
2020-04-09,43.000000,45.730000,41.389999,41.669998,41.669998,0
2020-04-13,44.599998,45.040001,41.169998,41.169998,41.169998,0
2020-04-14,40.240002,40.570000,37.310001,37.759998,37.759998,0
2020-04-15,42.570000,43.230000,40.049999,40.840000,40.840000,0
2020-04-16,41.919998,43.020000,39.869999,40.110001,40.110001,0
2020-04-17,39.500000,40.259998,37.630001,38.150002,38.150002,0
2020-04-20,40.680000,43.830002,39.880001,43.830002,43.830002,0
2020-04-21,44.279999,47.770000,43.770000,45.410000,45.410000,0
2020-04-22,44.910000,45.070000,41.410000,41.980000,41.980000,0
2020-04-23,41.299999,42.470001,39.060001,41.380001,41.380001,0
2020-04-24,38.799999,40.169998,35.599998,35.930000,35.930000,0
2020-04-27,36.290001,36.439999,32.509998,33.290001,33.290001,0
2020-04-28,33.209999,35.389999,30.540001,33.570000,33.570000,0
2020-04-29,32.480000,33.189999,30.709999,31.230000,31.230000,0
2020-04-30,30.990000,35.939999,30.930000,34.150002,34.150002,0
2020-05-01,38.169998,39.570000,36.590000,37.189999,37.189999,0
2020-05-04,39.130001,40.320000,35.529999,35.970001,35.970001,0
2020-05-05,34.820000,36.220001,31.950001,33.610001,33.610001,0
2020-05-06,32.689999,35.689999,31.680000,34.119999,34.119999,0
2020-05-07,32.119999,32.279999,30.370001,31.440001,31.440001,0
2020-05-08,30.139999,30.389999,27.889999,27.980000,27.980000,0
2020-05-11,28.459999,31.459999,26.969999,27.570000,27.570000,0
2020-05-12,28.469999,33.040001,26.000000,33.040001,33.040001,0
2020-05-13,32.740002,37.419998,30.770000,35.279999,35.279999,0
2020-05-14,35.160000,39.279999,32.330002,32.610001,32.610001,0
2020-05-15,32.500000,35.130001,31.040001,31.889999,31.889999,0
2020-05-18,30.709999,31.080000,28.350000,29.299999,29.299999,0
2020-05-19,28.730000,30.740000,28.370001,30.530001,30.530001,0
2020-05-20,29.520000,29.830000,27.830000,27.990000,27.990000,0
2020-05-21,28.969999,30.200001,27.670000,29.530001,29.530001,0
2020-05-22,31.360001,31.549999,28.030001,28.160000,28.160000,0
2020-05-26,27.719999,28.580000,27.180000,28.010000,28.010000,0
2020-05-27,27.620001,30.530001,25.920000,27.620001,27.620001,0
2020-05-28,27.820000,29.889999,27.430000,28.590000,28.590000,0
2020-05-29,29.299999,30.160000,27.290001,27.510000,27.510000,0
2020-06-01,28.940001,30.600000,28.110001,28.230000,28.230000,0
2020-06-02,28.400000,28.520000,26.660000,26.840000,26.840000,0
2020-06-03,26.750000,26.980000,25.040001,25.660000,25.660000,0
2020-06-04,26.230000,26.430000,24.379999,25.809999,25.809999,0
2020-06-05,24.790001,25.090000,23.540001,24.520000,24.520000,0
2020-06-08,25.559999,25.980000,24.650000,25.809999,25.809999,0
2020-06-09,25.930000,27.700001,25.709999,27.570000,27.570000,0
2020-06-10,26.730000,29.010000,26.059999,27.570000,27.570000,0
2020-06-11,30.450001,42.580002,29.490000,40.790001,40.790001,0
2020-06-12,37.680000,44.160000,34.970001,36.090000,36.090000,0
2020-06-15,44.090000,44.439999,34.279999,34.400002,34.400002,0
2020-06-16,34.279999,37.450001,31.730000,33.669998,33.669998,0
2020-06-17,33.279999,35.169998,32.250000,33.470001,33.470001,0
2020-06-18,33.830002,36.250000,32.240002,32.939999,32.939999,0
2020-06-19,32.070000,35.119999,30.400000,35.119999,35.119999,0
2020-06-22,35.220001,35.389999,31.639999,31.770000,31.770000,0
2020-06-23,31.709999,31.709999,29.260000,31.370001,31.370001,0
2020-06-24,31.049999,37.119999,30.950001,33.840000,33.840000,0
2020-06-25,36.590000,36.930000,31.590000,32.220001,32.220001,0
2020-06-26,33.009998,36.250000,31.040001,34.730000,34.730000,0
2020-06-29,35.049999,36.310001,31.780001,31.780001,31.780001,0
2020-06-30,32.540001,32.939999,29.559999,30.430000,30.430000,0
2020-07-01,30.959999,31.760000,28.200001,28.620001,28.620001,0
2020-07-02,28.330000,28.440001,25.900000,27.680000,27.680000,0
2020-07-06,27.760000,28.330000,24.920000,27.940001,27.940001,0
2020-07-07,28.770000,29.629999,27.250000,29.430000,29.430000,0
2020-07-08,28.950001,30.200001,27.240000,28.080000,28.080000,0
2020-07-09,28.180000,31.480000,26.110001,29.260000,29.260000,0
2020-07-10,30.860001,30.910000,27.129999,27.290001,27.290001,0
2020-07-13,27.850000,32.450001,26.870001,32.189999,32.189999,0
2020-07-14,31.139999,33.669998,29.209999,29.520000,29.520000,0
2020-07-15,29.150000,30.090000,27.170000,27.760000,27.760000,0
2020-07-16,28.410000,29.290001,26.980000,28.000000,28.000000,0
2020-07-17,27.150000,27.540001,25.410000,25.680000,25.680000,0
2020-07-20,26.940001,27.080000,24.350000,24.459999,24.459999,0
2020-07-21,24.080000,25.650000,23.610001,24.840000,24.840000,0
2020-07-22,24.559999,26.260000,24.129999,24.320000,24.320000,0
2020-07-23,23.969999,26.950001,23.600000,26.080000,26.080000,0
2020-07-24,27.959999,28.580000,25.530001,25.840000,25.840000,0
2020-07-27,26.600000,26.940001,24.549999,24.740000,24.740000,0
2020-07-28,24.860001,25.850000,24.049999,25.440001,25.440001,0
2020-07-29,25.160000,25.420000,23.730000,24.100000,24.100000,0
2020-07-30,25.040001,28.290001,24.639999,24.760000,24.760000,0
2020-07-31,24.790001,26.410000,23.549999,24.459999,24.459999,0
2020-08-03,25.750000,26.010000,22.170000,24.280001,24.280001,0
2020-08-04,24.010000,24.760000,22.920000,23.760000,23.760000,0
2020-08-05,23.440001,23.610001,22.860001,22.990000,22.990000,0
2020-08-06,23.030001,24.110001,20.969999,22.650000,22.650000,0
2020-08-07,23.450001,24.020000,22.020000,22.209999,22.209999,0
2020-08-10,22.879999,23.520000,21.459999,22.129999,22.129999,0
2020-08-11,21.850000,24.930000,20.280001,24.030001,24.030001,0
2020-08-12,22.820000,22.879999,21.540001,22.280001,22.280001,0
2020-08-13,22.200001,22.920000,21.450001,22.129999,22.129999,0
2020-08-14,22.270000,23.549999,21.790001,22.049999,22.049999,0
2020-08-17,22.520000,22.820000,21.340000,21.350000,21.350000,0
2020-08-18,21.690001,22.549999,21.180000,21.510000,21.510000,0
2020-08-19,21.600000,22.980000,20.990000,22.540001,22.540001,0
2020-08-20,24.100000,24.600000,22.370001,22.719999,22.719999,0
2020-08-21,22.580000,24.469999,22.059999,22.540001,22.540001,0
2020-08-24,22.870001,23.180000,21.250000,22.370001,22.370001,0
2020-08-25,22.160000,23.430000,21.530001,22.030001,22.030001,0
2020-08-26,22.139999,23.270000,20.920000,23.270000,23.270000,0
2020-08-27,23.420000,27.090000,21.440001,24.469999,24.469999,0
2020-08-28,24.590000,26.299999,22.639999,22.959999,22.959999,0
2020-08-31,23.910000,26.500000,21.770000,26.410000,26.410000,0
2020-09-01,25.860001,26.590000,25.020000,26.120001,26.120001,0
2020-09-02,26.010000,27.070000,25.530001,26.570000,26.570000,0
2020-09-03,26.280001,35.939999,25.660000,33.599998,33.599998,0
2020-09-04,34.619999,38.279999,29.500000,30.750000,30.750000,0
2020-09-08,30.610001,35.930000,30.520000,31.459999,31.459999,0
2020-09-09,31.680000,31.780001,28.120001,28.809999,28.809999,0
2020-09-10,28.670000,30.559999,27.590000,29.709999,29.709999,0
2020-09-11,28.629999,29.730000,26.510000,26.870001,26.870001,0
2020-09-14,25.860001,26.790001,25.379999,25.850000,25.850000,0
2020-09-15,25.920000,26.000000,24.920000,25.590000,25.590000,0
2020-09-16,25.309999,26.590000,24.840000,26.040001,26.040001,0
2020-09-17,28.219999,28.920000,26.260000,26.459999,26.459999,0
2020-09-18,26.650000,28.100000,25.280001,25.830000,25.830000,0
2020-09-21,28.040001,31.180000,27.389999,27.780001,27.780001,0
